airline_name,month,origin_city,total_flights,delayed_flights,lat,lon
Alaska Airlines,1,"Atlanta, GA",84,20.0,33.6407,-84.4277
Alaska Airlines,1,"Chicago, IL",148,44.0,41.9742,-87.9073
Alaska Airlines,1,"Dallas/Fort Worth, TX",159,28.0,32.8998,-97.0403
Alaska Airlines,1,"Denver, CO",119,24.0,39.8561,-104.6737
Alaska Airlines,1,"Houston, TX",62,6.0,29.9804,-95.3397
Alaska Airlines,1,"Las Vegas, NV",438,95.0,36.084,-115.1537
Alaska Airlines,1,"Los Angeles, CA",657,80.0,33.9416,-118.4085
Alaska Airlines,1,"New York, NY",228,26.0,40.6413,-73.7781
Alaska Airlines,1,"Phoenix, AZ",463,60.0,33.4342,-112.0081
Alaska Airlines,1,"San Francisco, CA",780,107.0,37.6213,-122.379
Alaska Airlines,1,"Seattle, WA",5586,1060.0,47.4502,-122.3088
Alaska Airlines,2,"Atlanta, GA",68,30.0,33.6407,-84.4277
Alaska Airlines,2,"Chicago, IL",137,39.0,41.9742,-87.9073
Alaska Airlines,2,"Dallas/Fort Worth, TX",136,29.0,32.8998,-97.0403
Alaska Airlines,2,"Denver, CO",110,26.0,39.8561,-104.6737
Alaska Airlines,2,"Houston, TX",56,15.0,29.9804,-95.3397
Alaska Airlines,2,"Las Vegas, NV",412,91.0,36.084,-115.1537
Alaska Airlines,2,"Los Angeles, CA",591,95.0,33.9416,-118.4085
Alaska Airlines,2,"New York, NY",218,30.0,40.6413,-73.7781
Alaska Airlines,2,"Phoenix, AZ",449,71.0,33.4342,-112.0081
Alaska Airlines,2,"San Francisco, CA",648,132.0,37.6213,-122.379
Alaska Airlines,2,"Seattle, WA",5011,1155.0,47.4502,-122.3088
Alaska Airlines,3,"Atlanta, GA",98,30.0,33.6407,-84.4277
Alaska Airlines,3,"Chicago, IL",187,37.0,41.9742,-87.9073
Alaska Airlines,3,"Dallas/Fort Worth, TX",152,34.0,32.8998,-97.0403
Alaska Airlines,3,"Denver, CO",140,26.0,39.8561,-104.6737
Alaska Airlines,3,"Houston, TX",62,9.0,29.9804,-95.3397
Alaska Airlines,3,"Las Vegas, NV",478,94.0,36.084,-115.1537
Alaska Airlines,3,"Los Angeles, CA",661,104.0,33.9416,-118.4085
Alaska Airlines,3,"New York, NY",317,81.0,40.6413,-73.7781
Alaska Airlines,3,"Phoenix, AZ",518,86.0,33.4342,-112.0081
Alaska Airlines,3,"San Francisco, CA",778,148.0,37.6213,-122.379
Alaska Airlines,3,"Seattle, WA",5724,1203.0,47.4502,-122.3088
Allegiant Air,1,"Chicago, IL",18,7.0,41.9742,-87.9073
Allegiant Air,1,"Denver, CO",19,7.0,39.8561,-104.6737
Allegiant Air,1,"Houston, TX",12,6.0,29.9804,-95.3397
Allegiant Air,1,"Las Vegas, NV",575,108.0,36.084,-115.1537
Allegiant Air,1,"Los Angeles, CA",37,11.0,33.9416,-118.4085
Allegiant Air,1,"Phoenix, AZ",583,109.0,33.4342,-112.0081
Allegiant Air,2,"Chicago, IL",18,5.0,41.9742,-87.9073
Allegiant Air,2,"Denver, CO",21,5.0,39.8561,-104.6737
Allegiant Air,2,"Houston, TX",8,2.0,29.9804,-95.3397
Allegiant Air,2,"Las Vegas, NV",523,93.0,36.084,-115.1537
Allegiant Air,2,"Los Angeles, CA",24,2.0,33.9416,-118.4085
Allegiant Air,2,"Phoenix, AZ",578,98.0,33.4342,-112.0081
Allegiant Air,3,"Chicago, IL",38,8.0,41.9742,-87.9073
